,tconst,startYear,runtimeMinutes,directors,writers,nconst,title,distributor,domestic_revenue,opening_revenue,opening_theaters,budget,mpaa,genres,release_date
2342,tt1300854,2013,130,nm0000948,"nm1510800,nm0000948,nm0498278,nm1411347,nm1293367,nm0456158,nm1979137,nm2137463","nm0456158,nm0000375,nm0001602,nm0000569,nm0000332,nm0000948,nm1510800,nm0498278,nm1411347,nm1293367",Iron Man 3,Walt Disney Studios Motion Pictures,"$409,013,994","$174,144,585","4,253","$200,000,000",PG-13,"Action,Adventure,Sci-Fi","May 3, 2013"
2343,tt1301990,2010,93,nm0505934,nm0505934,"nm0936392,nm0000630,nm0000166,nm0001303,nm3009232,nm0505934,nm0047419,nm0505075,nm1507221,nm0775262",Every Day,Image Entertainment,"$46,029","$9,857",3,"$3,000,000",R,"Comedy,Drama,Romance","Jan 14, 2011"
2344,tt1302011,2011,90,nm0950775,"nm0008743,nm0074184,nm0717550,nm0903456","nm0167795,nm0085312,nm0001401,nm0000329,nm0000163,nm0950775,nm0008743,nm0074184,nm0717550,nm0903456",Kung Fu Panda 2,DreamWorks,"$165,249,063","$47,656,302","3,925","$150,000,000",PG,"Action,Adventure,Animation,Comedy,Drama,Family,Fantasy","May 26, 2011"
2345,tt1302067,2010,81,nm0108094,"nm0893262,nm0827985,nm0178589,nm0053484,nm0360253","nm0360253,nm0000101,nm0005493,nm0267506,nm0146915,nm0108094,nm0893262,nm0827985,nm0178589,nm0053484",Yogi Bear,Warner Bros.,"$100,246,011","$16,411,322","3,515","$80,000,000",PG,"Adventure,Animation,Comedy,Family","Dec 17, 2010"
2346,tt1303828,2009,101,nm0824220,nm0824220,"nm0767962,nm0000437,nm0993507,nm0644897,nm0000480,nm0824220,nm0002431,nm2227793,nm0338726,nm1198880",Defendor,Darius Films,"$44,462","$13,265",3,"$3,500,000",R,"Comedy,Crime,Drama","Feb 19, 2010"
2347,tt1305591,2011,88,nm0920425,"nm0920425,nm3352441,nm0106455","nm0823330,nm0001293,nm0000349,nm0283945,nm0363699,nm0920425,nm3352441,nm0106455,nm0101921,nm0710759",Mars Needs Moms,Walt Disney Studios Motion Pictures,"$21,392,758","$6,914,488","3,117","$150,000,000",PG,"Action,Adventure,Animation,Family,Sci-Fi","Mar 11, 2011"
2348,tt1306980,2011,100,nm1349522,nm1672425,"nm0820987,nm0330687,nm0736622,nm0447695,nm0397171,nm1349522,nm1672425,nm1698571,nm0439499,nm0315974",50/50,Summit Entertainment,"$35,014,192","$8,644,095","2,458","$8,000,000",R,"Comedy,Drama,Romance","Sep 30, 2011"
2349,tt1307068,2012,101,nm1032521,nm1032521,"nm2207081,nm0136797,nm0461136,nm0001491,nm0652663,nm1032521,nm0326512,nm2262509,nm0747287,nm2229726",Seeking a Friend for the End of the World,Focus Features,"$7,078,738","$3,822,803","1,625","$10,000,000",R,"Adventure,Comedy,Drama,Romance,Sci-Fi","Jun 22, 2012"
2350,tt1308728,2018,91,nm0005008,"nm1787651,nm1032300","nm0501999,nm0565250,nm0006969,nm0748973,nm1534715,nm0005008,nm1787651,nm1032300,nm1229520,nm0371065",The Happytime Murders,STX Entertainment,"$20,706,452","$9,532,425","3,256","$40,000,000",R,"Action,Comedy,Crime,Fantasy,Mystery,Thriller","Aug 24, 2018"
2351,tt1311067,2009,105,nm0957772,nm0957772,"nm2633415,nm0174021,nm0541932,nm0000532,nm0600667,nm0957772,nm0015443,nm0332308,nm0061045,nm1060930",Halloween II,Dimension Films,"$33,392,973","$16,349,565","3,025","$15,000,000",R,Horror,"Aug 28, 2009"
