,director,sum_power,wciar_power
426,nm0128883,1322271.300567053,58154.10680191881
427,nm0131969,9758663.464756517,670610.246940789
428,nm0132709,233114373.54720885,17047299.1364893
429,nm0134176,47433233.024382964,219262.1344951351
430,nm0134224,21461811.985423833,10988447.736537006
431,nm0134396,88113.44385947047,2480.1729558240168
432,nm0136592,4465908.601119276,51488.42063839101
433,nm0138034,22570.342426550596,406.59114296735146
434,nm0138620,73566327.53155017,5835049.553453787
435,nm0138809,77866.1469014037,3424.5893571283036
436,nm0138927,8633539.455721669,240267.92621871983
437,nm0139111,9516262.174956523,23008.91009905405
438,nm0139461,1673505.6883679193,19294.20696201261
439,nm0139867,157665627.7696969,7595020.503278256
440,nm0141033,43169.123502475246,254.82552740368703
441,nm0141222,40393003.175070144,97664.28894023613
442,nm0141961,42389331.44174723,2866792.894786622
443,nm0142286,113608054.65939952,13214762.450342871
444,nm0143984,15387908.838187784,5042309.968097375
445,nm0146341,3434621.1976011447,174384.54321417795
446,nm0149446,542056.3455209453,12206.023778509722
447,nm0149491,10136249.6752467,557246.218998723
448,nm0151066,4238224.90768953,31272.58007958806
449,nm0151540,65937413.98993991,9371795.136455363
450,nm0152312,98782876.47061694,10283999.423670271
451,nm0028764,75602272.83533934,10147165.29159537
452,nm0700760,75602272.83533934,10147165.29159537
453,nm9054338,70500818.17639294,2217999.176747354
454,nm0920425,64353207.03940859,1482618.5794828502
455,nm0152741,13647284.114507772,125873.97868076352
456,nm0153078,58307153.73024211,4098334.516904529
457,nm0153740,21853.850479745295,2933.174159443125
458,nm0154819,21761539.718027353,113296.47953748294
459,nm0155093,24429479.997862604,2070198.4688720268
460,nm0155528,183571662.2604968,73079429.30018607
461,nm0608714,70131656.95891096,35907408.36296242
462,nm0155536,5014798.259533785,220553.15989232995
463,nm0158966,590294.7930242053,50705.93662076104
464,nm0158984,46060.50628937991,3956.5673630017827
465,nm0159507,374597.9465425532,8435.195862313985
466,nm0160126,453652.9492624401,6967.004182765402
467,nm0160157,17732759.483663112,1904040.5512541737
468,nm0160840,130613964.80118653,27864997.27630634
469,nm0161834,5713561.745122961,1754667.3854187483
470,nm0162407,6913.808566198902,40.811922302493464
471,nm0163706,8899474.634145455,65666.53238662054
472,nm0164187,147015.94516721313,444.3284300192319
473,nm0166256,26846763.9591513,322180.69926536817
474,nm0615780,26846763.9591513,322180.69926536817
475,nm0167384,7432537.758187956,510760.10556323914
476,nm0674742,7432537.758187956,510760.10556323914
477,nm0169680,3285028.679205527,30299.041660050272
478,nm0169806,130521157.40790863,53543329.21961953
479,nm0170719,10834499.432178227,294552.03322060057
480,nm0174374,515412228.2857308,119428068.63868593
481,nm0175775,21461402.21061611,483267.81499289576
482,nm0177637,14787226.57126858,520279.28184537764
483,nm0177896,44383707.20557565,22724458.08925474
484,nm0178376,30843116.236196097,7513005.054746409
485,nm0178997,194315240.2578011,8389569.840695778
486,nm0179221,15780481.799403952,1355533.0648712649
487,nm0179697,10838471.699245322,2841240.325126967
488,nm0179959,16749.158196037537,471.4468913152763
489,nm0180428,161525.91820185728,17343.713403333713
490,nm0180912,4152235.819185687,32563.14976888921
491,nm0188165,9435728.42964507,108786.5421816801
492,nm0190859,192319067.47713417,13414611.885983456
493,nm0191147,15734809.244004717,6444977.866344334
494,nm0191712,17243470.219211943,3616217.805716078
495,nm1392282,20999280.81274658,13439539.720157815
496,nm0192845,230442.98511135305,10932.56754984046
497,nm0193485,13274925.270621374,417211.9431666419
498,nm0193508,10609339.13938954,5916221.930758655
499,nm0193554,3542427.6549186762,40841.41021869749
500,nm0193838,8150193.34805154,1093900.4339361915
501,nm0513769,8150193.34805154,1093900.4339361915
502,nm0196860,225795.7664721241,9930.602829547797
503,nm0197636,1022993.5528009165,21542.701737965683
504,nm0197855,33956812.63945572,13365316.896995585
505,nm0326246,33956812.63945572,13365316.896995585
506,nm0199722,6961032.088646288,8617.340337285594
507,nm0200005,29819980.215240836,4778693.39429188
508,nm0200380,477426.5740454786,10750.69070483996
509,nm0201283,5917867.114103704,208216.4385148873
510,nm0201304,9510296.096662885,109646.2488502121
511,nm0201509,202079419.96301946,19573622.0922001
512,nm0569891,201478819.35157716,18225946.021530047
513,nm0201524,1680694.903996349,225579.0514755682
514,nm0216459,1680694.903996349,225579.0514755682
515,nm0204628,133699.41753365402,43810.62513742776
516,nm0204884,31316908.991436034,617462.8052077487
517,nm0205157,6837843.062017362,300731.5182238217
518,nm0205542,32881319.8070191,342794.7487021372
519,nm0206259,11548731.474345328,7391188.143581011
520,nm0208343,39353.697220145834,2704.365480595401
521,nm0210320,57580896.18453032,8697175.41169767
522,nm0761498,177944666.02157488,33537732.90759222
523,nm0211823,11986108.357314631,28980.63173971274
524,nm0213450,215045949.5320891,53076963.23410455
525,nm0214036,13105044.337074526,188863.5929379927
526,nm0215269,7723359.255679012,14939.149469359994
527,nm0215299,29471695.33796292,15089508.01303702
528,nm0216214,10500767.549984815,2202170.566898576
529,nm0218621,105149857.81041369,24492649.50213159
530,nm0219974,3273332.970620239,58967.12458697953
531,nm0220600,200716913.91830984,38382033.60204418
532,nm0222043,35895241.38004801,906876.5667254664
533,nm0222104,1713167.7490368742,30861.686544742504
534,nm0223359,91646939.44376327,2856337.349060743
535,nm0224145,5119262.779285468,2096850.0343953283
536,nm0224683,504023.8536585366,67648.93649585331
537,nm0225416,4156383.415509286,47919.83821131917
538,nm0227540,67768991.21547857,1628372.5702165274
539,nm0227781,6133736.105451388,56573.73007646692
540,nm0228147,32110083.587798502,151635.58249716254
541,nm0228542,19724100.93670053,6463193.394938031
542,nm0229694,101186531.42563152,6425880.10669092
543,nm0230032,274716155.6554091,32776573.76759632
544,nm0215455,99135708.6059387,25987831.196795207
545,nm0798899,185247334.21533233,5152925.550209087
546,nm0881279,325264065.4449099,14242736.223653601
547,nm0231190,14506739.405370165,209064.1477772353
548,nm0231596,7926414.320184517,1047130.6095897845
549,nm0235719,17164770.169051543,943643.21944874
550,nm0236226,8413465.255223779,5367677.695448895
551,nm0237292,263059.88244051253,1552.8314647808838
552,nm0238841,12051945.549738219,271385.68743445305
553,nm0240627,693241.62053871,45692.82479575994
554,nm0240797,365423260.89005905,24935793.819807675
555,nm0240995,15760002.146562498,145360.36309937597
556,nm0241090,51806.13732718329,284.6488577972912
557,nm0243109,11016952.483801296,248079.71550403014
558,nm0243231,218079.20864358958,18732.861381235565
559,nm0243233,218079.20864358958,18732.861381235565
560,nm0244756,56024.351325910924,1576.94529846904
561,nm0245888,84926102.29139446,1736587.2307005574
562,nm0248942,22549792.873109415,100896.29462390982
563,nm0249291,13011566.323226303,3410904.0422358373
564,nm0252135,55571633.841555476,5466875.950568155
565,nm0253323,6746501.434765403,77781.8658500199
566,nm0438226,6746501.434765403,77781.8658500199
567,nm0253819,9419650.608306495,135751.47190249423
568,nm0254120,11271939.512986198,2954871.311692255
569,nm0254632,9488034.480547778,70009.33753007873
570,nm0254786,75276368.25047718,4277039.323805998
571,nm0256983,16456553.656820904,296454.9156666451
572,nm0899329,60034631.495479435,553694.4833831023
573,nm0257554,31616606.07040064,20234627.885056414
574,nm0257606,12093978.335702501,664873.4903087972
575,nm0262595,12576238.385011902,553108.8135201384
576,nm0265363,3586095.242158591,4439.370884958928
577,nm0266255,14523396.205088338,133954.68643817471
578,nm0266302,24716655.097602177,445255.6747496254
579,nm0266622,35542600.0176832,2074714.0390753364
580,nm0266777,30124585.494915754,1059914.6250749482
581,nm0267512,476886.48076658475,16778.951383425156
582,nm0206760,476886.48076658475,16778.951383425156
583,nm0269463,686571987.9351617,187714817.5067791
584,nm0271402,52991064.832807735,3697309.378767365
585,nm0828207,12571776.89865289,691140.7440937281
586,nm0272704,8307147.590274352,186729.9314599574
587,nm0275277,14903755.91903471,3115230.056744324
588,nm0275286,46673735.83505304,2184924.1294574803
589,nm0275629,51263340.24133785,10524884.36507204
590,nm0720135,51263340.24133785,10524884.36507204
591,nm0275698,79909454.82777902,18753257.963016693
592,nm0276062,265535.702897921,6064.936444619019
593,nm0276397,13762.97450980392,101.55282739013656
594,nm0278181,23522127.997534834,1140975.0928068967
595,nm0820800,4208511.82880079,706071.1199034591
596,nm0998551,19313616.168734044,434903.97290343756
597,nm0280814,16086032.11005339,884338.967489091
598,nm0505662,16086032.11005339,884338.967489091
599,nm0281396,160295973.80705264,101255111.66921523
600,nm1349818,160295973.80705264,101255111.66921523
601,nm0281508,174970596.9622219,66902992.7943813
602,nm0281598,525257.0285184813,28876.31052135703
603,nm0281869,2844320.21866426,20987.378854950904
604,nm0281945,117162232.60480551,10131846.60934717
605,nm0283500,20361655.09713018,25206.50811085674
606,nm0283816,15113925.881249052,4952531.232767691
607,nm0284774,492678.0555357482,33856.57817572659
608,nm0285436,228726.46121689363,15717.962730501937
609,nm0286975,201141993.6654517,30789952.42543585
610,nm0287025,1354925.5959457627,3276.009073191147
611,nm0291082,16577706.879632184,3052886.0254897163
612,nm0291205,46953163.32943333,4173928.728487625
613,nm0293533,379425.0187969925,1791.783991529105
614,nm0294457,42701586.460900664,4986763.647051567
615,nm0294505,8206786.762063222,184539.253294559
616,nm0294997,46703899.95139748,2522702.7887269612
617,nm0783536,46703899.95139748,2522702.7887269612
618,nm0295007,17452864.62605364,65935.05835210967
619,nm0298807,253321194.92503315,52779323.769459225
620,nm0299563,73922.87406199021,1331.6761123189422
621,nm0299677,40794.00478214665,3504.1783282437514
622,nm0300174,17483283.019209355,3666510.195030095
623,nm0300866,29952091.627210386,17839101.57992829
624,nm0302778,18675083.60787776,215309.05491853118
625,nm0303032,403974.5221274145,27448.67512363717
626,nm0304432,19224116.27229381,4031589.388867352
627,nm0304521,26871445.849680126,928662.7874457208
628,nm0304830,13205748.72905518,580794.9712433725
629,nm0305405,5158932.92531307,38066.206146673634
630,nm0307497,11893246.737577666,6010206.027999264
631,nm0309691,12052512.774126505,339248.0752402145
632,nm0312173,11371049.400286295,2980852.3739886517
633,nm0313623,4477813.374833341,1467289.8866653894
